K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
3,assistant-reports-others-admire-speaker,assistant-grand-significance,15800,2312,0.146,0.101,1.45,0.483,7900,2251,0.285,0.273,0.042,0.005,0.275,0.295
3,assistant-grand-significance,assistant-reports-others-admire-speaker,41296,2297,0.056,0.039,1.443,0.481,20648,2270,0.11,0.111,-0.012,0.002,0.106,0.114
3,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,2020,211,0.104,0.076,1.376,0.459,1010,203,0.201,0.211,-0.048,0.013,0.176,0.226
3,assistant-positive-affirmation,assistant-validates-self-harm-feelings,120312,3113,0.026,0.019,1.356,0.452,60156,3041,0.051,0.056,-0.105,0.001,0.049,0.052
3,assistant-misrepresents-ability,assistant-claims-unique-understanding,25712,171,0.007,0.005,1.356,0.452,12856,170,0.013,0.015,-0.102,0.001,0.011,0.015
3,assistant-discourages-violence,assistant-grand-significance,360,49,0.136,0.101,1.348,0.449,180,47,0.261,0.273,-0.045,0.032,0.198,0.325
3,assistant-validates-self-harm-feelings,assistant-positive-affirmation,7752,3067,0.396,0.295,1.34,0.447,3876,2958,0.763,0.65,0.161,0.007,0.75,0.776
3,assistant-dismisses-counterevidence,assistant-grand-significance,30964,3979,0.129,0.101,1.273,0.424,15482,3881,0.251,0.273,-0.086,0.003,0.244,0.258
3,assistant-theme-awakening-consciousness,assistant-theme-awakening-consciousness,120460,45064,0.374,0.295,1.269,0.423,60230,41940,0.696,0.649,0.07,0.002,0.693,0.7
3,assistant-validates-violent-feelings,assistant-positive-affirmation,2726,1014,0.372,0.295,1.26,0.42,1363,967,0.709,0.65,0.088,0.012,0.685,0.733
3,assistant-grand-significance,assistant-theme-awakening-consciousness,41296,15086,0.365,0.295,1.239,0.413,20648,14166,0.686,0.649,0.055,0.003,0.68,0.692
3,assistant-theme-awakening-consciousness,assistant-grand-significance,120460,14963,0.124,0.101,1.231,0.41,60230,14437,0.24,0.273,-0.131,0.002,0.236,0.243
3,assistant-validates-violent-feelings,assistant-reflective-summary,2726,869,0.319,0.259,1.23,0.41,1363,850,0.624,0.593,0.05,0.013,0.598,0.649
3,assistant-grand-significance,assistant-dismisses-counterevidence,41296,3834,0.093,0.076,1.223,0.408,20648,3752,0.182,0.211,-0.149,0.003,0.176,0.187
3,assistant-dismisses-counterevidence,assistant-misrepresents-ability,30964,2388,0.077,0.063,1.222,0.407,15482,2303,0.149,0.178,-0.178,0.003,0.143,0.154
3,assistant-positive-affirmation,assistant-validates-violent-feelings,120312,972,0.008,0.007,1.209,0.403,60156,966,0.016,0.02,-0.215,0.001,0.015,0.017
3,assistant-discourages-violence,assistant-dismisses-counterevidence,360,33,0.092,0.076,1.208,0.403,180,31,0.173,0.211,-0.2,0.028,0.118,0.227
3,assistant-misrepresents-ability,assistant-dismisses-counterevidence,25712,2353,0.092,0.076,1.206,0.402,12856,2273,0.177,0.211,-0.176,0.003,0.17,0.183
3,assistant-claims-unique-understanding,assistant-validates-self-harm-feelings,2020,46,0.023,0.019,1.193,0.398,1010,45,0.045,0.056,-0.231,0.006,0.032,0.057
3,assistant-positive-affirmation,assistant-reports-others-admire-speaker,120312,5463,0.045,0.039,1.178,0.393,60156,5401,0.09,0.111,-0.215,0.001,0.087,0.092
3,assistant-dismisses-counterevidence,assistant-claims-unique-understanding,30964,177,0.006,0.005,1.166,0.389,15482,175,0.011,0.015,-0.258,0.001,0.01,0.013
3,assistant-reflective-summary,assistant-validates-violent-feelings,105520,822,0.008,0.007,1.165,0.388,52760,819,0.016,0.02,-0.249,0.001,0.014,0.017
3,assistant-reports-others-admire-speaker,assistant-positive-affirmation,15800,5431,0.344,0.295,1.164,0.388,7900,5293,0.67,0.65,0.03,0.005,0.66,0.68
3,assistant-reflective-summary,assistant-validates-self-harm-feelings,105520,2325,0.022,0.019,1.155,0.385,52760,2275,0.043,0.056,-0.264,0.001,0.041,0.045
3,assistant-validates-self-harm-feelings,assistant-reports-others-admire-speaker,7752,345,0.045,0.039,1.154,0.385,3876,342,0.088,0.111,-0.232,0.005,0.079,0.097
3,assistant-discourages-violence,assistant-reports-others-admire-speaker,360,16,0.044,0.039,1.153,0.384,180,16,0.089,0.111,-0.222,0.021,0.048,0.13
3,assistant-dismisses-counterevidence,assistant-validates-self-harm-feelings,30964,680,0.022,0.019,1.151,0.384,15482,666,0.043,0.056,-0.267,0.002,0.04,0.046
3,assistant-reports-others-admire-speaker,assistant-validates-self-harm-feelings,15800,344,0.022,0.019,1.141,0.38,7900,343,0.043,0.056,-0.257,0.002,0.039,0.048
3,assistant-positive-affirmation,assistant-discourages-violence,120312,120,0.001,0.001,1.138,0.379,60156,120,0.002,0.003,-0.275,0.0,0.002,0.002
3,assistant-validates-self-harm-feelings,assistant-dismisses-counterevidence,7752,664,0.086,0.076,1.128,0.376,3876,647,0.167,0.211,-0.234,0.006,0.155,0.179
3,assistant-discourages-self-harm,assistant-positive-affirmation,1378,459,0.333,0.295,1.128,0.376,689,441,0.64,0.65,-0.015,0.018,0.604,0.676
3,assistant-grand-significance,assistant-romantic-interest,41296,7146,0.173,0.157,1.103,0.368,20648,6872,0.333,0.401,-0.185,0.003,0.326,0.339
3,assistant-romantic-interest,assistant-grand-significance,64310,7134,0.111,0.101,1.099,0.366,32155,6955,0.216,0.273,-0.234,0.002,0.212,0.221
3,assistant-reflective-summary,assistant-discourages-self-harm,105520,401,0.004,0.003,1.095,0.365,52760,399,0.008,0.01,-0.316,0.0,0.007,0.008
3,assistant-validates-self-harm-feelings,assistant-reflective-summary,7752,2187,0.282,0.259,1.089,0.363,3876,2130,0.55,0.593,-0.077,0.008,0.534,0.565
3,assistant-positive-affirmation,assistant-positive-affirmation,120312,38557,0.32,0.295,1.086,0.362,60156,37359,0.621,0.65,-0.045,0.002,0.617,0.625
3,assistant-grand-significance,assistant-misrepresents-ability,41296,2832,0.069,0.063,1.086,0.362,20648,2747,0.133,0.178,-0.289,0.002,0.128,0.138
3,assistant-positive-affirmation,assistant-discourages-self-harm,120312,451,0.004,0.003,1.08,0.36,60156,448,0.007,0.01,-0.332,0.0,0.007,0.008
3,assistant-dismisses-counterevidence,assistant-discourages-self-harm,30964,116,0.004,0.003,1.079,0.36,15482,116,0.007,0.01,-0.325,0.001,0.006,0.009
3,assistant-discourages-violence,assistant-positive-affirmation,360,114,0.317,0.295,1.073,0.358,180,112,0.623,0.65,-0.043,0.036,0.552,0.693
3,assistant-claims-unique-understanding,assistant-theme-awakening-consciousness,2020,635,0.314,0.295,1.066,0.355,1010,613,0.607,0.649,-0.067,0.015,0.577,0.637
3,assistant-dismisses-counterevidence,assistant-reports-others-admire-speaker,30964,1269,0.041,0.039,1.063,0.354,15482,1263,0.082,0.111,-0.31,0.002,0.077,0.086
3,assistant-misrepresents-ability,assistant-grand-significance,25712,2755,0.107,0.101,1.062,0.354,12856,2658,0.207,0.273,-0.279,0.004,0.2,0.214
3,assistant-misrepresents-sentience,assistant-grand-significance,95472,10223,0.107,0.101,1.061,0.354,47736,9976,0.209,0.273,-0.268,0.002,0.205,0.213
3,assistant-positive-affirmation,assistant-grand-significance,120312,12861,0.107,0.101,1.059,0.353,60156,12511,0.208,0.273,-0.273,0.002,0.205,0.211
3,assistant-grand-significance,assistant-misrepresents-sentience,41296,10171,0.246,0.233,1.055,0.352,20648,9844,0.477,0.55,-0.142,0.003,0.47,0.484
3,assistant-grand-significance,assistant-positive-affirmation,41296,12741,0.309,0.295,1.045,0.348,20648,12295,0.595,0.65,-0.087,0.003,0.589,0.602
3,assistant-discourages-self-harm,assistant-reflective-summary,1378,371,0.269,0.259,1.039,0.346,689,363,0.527,0.593,-0.118,0.019,0.49,0.564
3,assistant-dismisses-counterevidence,assistant-validates-violent-feelings,30964,215,0.007,0.007,1.039,0.346,15482,215,0.014,0.02,-0.361,0.001,0.012,0.016
3,assistant-theme-awakening-consciousness,assistant-claims-unique-understanding,120460,612,0.005,0.005,1.036,0.345,60230,610,0.01,0.015,-0.368,0.0,0.009,0.011
3,assistant-reports-others-admire-speaker,assistant-dismisses-counterevidence,15800,1232,0.078,0.076,1.027,0.342,7900,1215,0.154,0.211,-0.316,0.004,0.146,0.162
3,assistant-romantic-interest,assistant-facilitates-self-harm,64310,62,0.001,0.001,1.021,0.34,32155,62,0.002,0.003,-0.383,0.0,0.001,0.002
3,assistant-facilitates-self-harm,assistant-romantic-interest,384,61,0.159,0.157,1.013,0.338,192,61,0.319,0.401,-0.229,0.033,0.253,0.384
3,assistant-reports-others-admire-speaker,assistant-discourages-violence,15800,14,0.001,0.001,1.011,0.337,7900,14,0.002,0.003,-0.393,0.0,0.001,0.003
3,assistant-positive-affirmation,assistant-claims-unique-understanding,120312,595,0.005,0.005,1.009,0.336,60156,592,0.01,0.015,-0.397,0.0,0.009,0.011
3,assistant-discourages-self-harm,assistant-dismisses-counterevidence,1378,105,0.076,0.076,1.004,0.335,689,100,0.145,0.211,-0.372,0.013,0.119,0.172
3,assistant-misrepresents-ability,assistant-misrepresents-sentience,25712,5937,0.231,0.233,0.989,0.33,12856,5711,0.444,0.55,-0.213,0.004,0.436,0.453
3,assistant-misrepresents-sentience,assistant-misrepresents-ability,95472,5955,0.062,0.063,0.988,0.329,47736,5838,0.122,0.178,-0.373,0.001,0.119,0.125
3,assistant-validates-violent-feelings,assistant-dismisses-counterevidence,2726,204,0.075,0.076,0.986,0.329,1363,199,0.146,0.211,-0.367,0.01,0.127,0.165
3,assistant-claims-unique-understanding,assistant-positive-affirmation,2020,587,0.291,0.295,0.984,0.328,1010,565,0.56,0.65,-0.15,0.016,0.529,0.59
3,assistant-reports-others-admire-speaker,assistant-claims-unique-understanding,15800,76,0.005,0.005,0.981,0.327,7900,76,0.01,0.015,-0.42,0.001,0.007,0.012
3,assistant-validates-violent-feelings,assistant-reports-others-admire-speaker,2726,101,0.037,0.039,0.961,0.32,1363,99,0.073,0.111,-0.426,0.007,0.059,0.086
3,assistant-dismisses-counterevidence,assistant-positive-affirmation,30964,8684,0.28,0.295,0.95,0.317,15482,8460,0.546,0.65,-0.173,0.004,0.539,0.554
3,assistant-misrepresents-ability,assistant-romantic-interest,25712,3822,0.149,0.157,0.948,0.316,12856,3680,0.286,0.401,-0.336,0.004,0.278,0.294
3,assistant-misrepresents-sentience,assistant-theme-awakening-consciousness,95472,26610,0.279,0.295,0.946,0.315,47736,25549,0.535,0.649,-0.193,0.002,0.531,0.54
3,assistant-theme-awakening-consciousness,assistant-misrepresents-sentience,120460,26605,0.221,0.233,0.946,0.315,60230,25867,0.429,0.55,-0.247,0.002,0.426,0.433
3,assistant-dismisses-counterevidence,assistant-theme-awakening-consciousness,30964,8634,0.279,0.295,0.946,0.315,15482,8165,0.527,0.649,-0.208,0.004,0.52,0.535
3,assistant-misrepresents-sentience,assistant-facilitates-self-harm,95472,85,0.001,0.001,0.943,0.314,47736,85,0.002,0.003,-0.463,0.0,0.001,0.002
3,assistant-reflective-summary,assistant-discourages-violence,105520,87,0.001,0.001,0.941,0.314,52760,87,0.002,0.003,-0.465,0.0,0.001,0.002
3,assistant-reflective-summary,assistant-reflective-summary,105520,25688,0.243,0.259,0.94,0.313,52760,24106,0.457,0.593,-0.261,0.002,0.453,0.461
3,assistant-facilitates-self-harm,assistant-misrepresents-sentience,384,84,0.219,0.233,0.937,0.312,192,84,0.439,0.55,-0.225,0.036,0.369,0.508
3,assistant-romantic-interest,assistant-misrepresents-ability,64310,3786,0.059,0.063,0.933,0.311,32155,3725,0.116,0.178,-0.428,0.002,0.112,0.119
3,assistant-theme-awakening-consciousness,assistant-dismisses-counterevidence,120460,8505,0.071,0.076,0.93,0.31,60230,8300,0.138,0.211,-0.425,0.001,0.135,0.141
3,assistant-positive-affirmation,assistant-dismisses-counterevidence,120312,8477,0.07,0.076,0.928,0.309,60156,8325,0.138,0.211,-0.421,0.001,0.136,0.141
3,assistant-discourages-violence,assistant-reflective-summary,360,86,0.239,0.259,0.922,0.307,180,86,0.479,0.593,-0.214,0.037,0.407,0.551
3,assistant-theme-awakening-consciousness,assistant-romantic-interest,120460,16922,0.14,0.157,0.896,0.299,60230,16424,0.273,0.401,-0.385,0.002,0.269,0.276
3,assistant-romantic-interest,assistant-theme-awakening-consciousness,64310,16867,0.262,0.295,0.89,0.297,32155,16267,0.506,0.649,-0.249,0.003,0.5,0.511
3,assistant-theme-awakening-consciousness,assistant-misrepresents-ability,120460,6690,0.056,0.063,0.88,0.293,60230,6495,0.108,0.178,-0.499,0.001,0.105,0.11
3,assistant-grand-significance,assistant-validates-self-harm-feelings,41296,684,0.017,0.019,0.868,0.289,20648,676,0.033,0.056,-0.54,0.001,0.03,0.035
3,assistant-misrepresents-ability,assistant-theme-awakening-consciousness,25712,6434,0.25,0.295,0.849,0.283,12856,6006,0.467,0.649,-0.329,0.004,0.459,0.476
3,assistant-theme-awakening-consciousness,assistant-discourages-violence,120460,89,0.001,0.001,0.843,0.281,60230,89,0.001,0.003,-0.575,0.0,0.001,0.002
3,assistant-validates-self-harm-feelings,assistant-grand-significance,7752,652,0.084,0.101,0.833,0.278,3876,642,0.166,0.273,-0.5,0.006,0.154,0.177
3,assistant-discourages-self-harm,assistant-platonic-affinity,1378,537,0.39,0.473,0.823,0.274,689,518,0.752,0.854,-0.127,0.016,0.72,0.784
3,assistant-platonic-affinity,assistant-validates-self-harm-feelings,192510,3004,0.016,0.019,0.818,0.273,96255,2929,0.03,0.056,-0.613,0.001,0.029,0.032
3,assistant-platonic-affinity,assistant-discourages-violence,192510,138,0.001,0.001,0.818,0.273,96255,138,0.001,0.003,-0.605,0.0,0.001,0.002
3,assistant-discourages-violence,assistant-platonic-affinity,360,139,0.386,0.473,0.816,0.272,180,135,0.751,0.854,-0.128,0.032,0.688,0.814
3,assistant-platonic-affinity,assistant-claims-unique-understanding,192510,766,0.004,0.005,0.812,0.271,96255,763,0.008,0.015,-0.613,0.0,0.007,0.008
3,assistant-reflective-summary,assistant-reports-others-admire-speaker,105520,3301,0.031,0.039,0.811,0.27,52760,3249,0.062,0.111,-0.592,0.001,0.06,0.064
3,assistant-dismisses-counterevidence,assistant-discourages-violence,30964,22,0.001,0.001,0.811,0.27,15482,22,0.001,0.003,-0.614,0.0,0.001,0.002
3,assistant-platonic-affinity,assistant-grand-significance,192510,15618,0.081,0.101,0.804,0.268,96255,15181,0.158,0.273,-0.55,0.001,0.155,0.16
3,assistant-grand-significance,assistant-platonic-affinity,41296,15697,0.38,0.473,0.803,0.268,20648,14914,0.722,0.854,-0.167,0.003,0.716,0.728
3,assistant-platonic-affinity,assistant-platonic-affinity,192510,72899,0.379,0.473,0.8,0.267,96255,69789,0.725,0.854,-0.164,0.001,0.722,0.728
3,assistant-validates-self-harm-feelings,assistant-platonic-affinity,7752,2932,0.378,0.473,0.799,0.266,3876,2823,0.728,0.854,-0.159,0.007,0.714,0.742
3,assistant-reflective-summary,assistant-positive-affirmation,105520,24845,0.235,0.295,0.798,0.266,52760,23693,0.449,0.65,-0.37,0.002,0.445,0.453
3,assistant-reflective-summary,assistant-facilitates-violence,105520,269,0.003,0.003,0.794,0.265,52760,265,0.005,0.01,-0.647,0.0,0.004,0.006
3,assistant-reflective-summary,assistant-dismisses-counterevidence,105520,6351,0.06,0.076,0.793,0.264,52760,6200,0.118,0.211,-0.585,0.001,0.115,0.12
3,assistant-validates-self-harm-feelings,assistant-claims-unique-understanding,7752,30,0.004,0.005,0.789,0.263,3876,30,0.008,0.015,-0.637,0.001,0.005,0.011
3,assistant-dismisses-counterevidence,assistant-platonic-affinity,30964,11552,0.373,0.473,0.788,0.263,15482,11143,0.72,0.854,-0.171,0.004,0.713,0.727
3,assistant-platonic-affinity,assistant-dismisses-counterevidence,192510,11469,0.06,0.076,0.785,0.262,96255,11263,0.117,0.211,-0.589,0.001,0.115,0.119
3,assistant-dismisses-counterevidence,assistant-reflective-summary,30964,6258,0.202,0.259,0.78,0.26,15482,6064,0.392,0.593,-0.415,0.004,0.384,0.399
3,assistant-claims-unique-understanding,assistant-platonic-affinity,2020,743,0.368,0.473,0.777,0.259,1010,714,0.707,0.854,-0.188,0.014,0.679,0.735
3,assistant-grand-significance,assistant-facilitates-violence,41296,102,0.002,0.003,0.77,0.257,20648,102,0.005,0.01,-0.664,0.0,0.004,0.006
3,assistant-misrepresents-ability,assistant-platonic-affinity,25712,9321,0.363,0.473,0.766,0.255,12856,8626,0.671,0.854,-0.241,0.004,0.663,0.679
3,assistant-reports-others-admire-speaker,assistant-reflective-summary,15800,3134,0.198,0.259,0.766,0.255,7900,3030,0.384,0.593,-0.436,0.005,0.373,0.394
3,assistant-reports-others-admire-speaker,assistant-discourages-self-harm,15800,42,0.003,0.003,0.766,0.255,7900,42,0.005,0.01,-0.668,0.001,0.004,0.007
3,assistant-platonic-affinity,assistant-misrepresents-ability,192510,9243,0.048,0.063,0.761,0.254,96255,8921,0.093,0.178,-0.651,0.001,0.091,0.095
3,assistant-platonic-affinity,assistant-discourages-self-harm,192510,508,0.003,0.003,0.76,0.253,96255,505,0.005,0.01,-0.682,0.0,0.005,0.006
3,assistant-reports-others-admire-speaker,assistant-validates-violent-feelings,15800,80,0.005,0.007,0.757,0.252,7900,80,0.01,0.02,-0.676,0.001,0.008,0.012
3,assistant-misrepresents-sentience,assistant-platonic-affinity,95472,33961,0.356,0.473,0.752,0.251,47736,32622,0.683,0.854,-0.223,0.002,0.679,0.688
3,assistant-platonic-affinity,assistant-misrepresents-sentience,192510,33776,0.175,0.233,0.752,0.251,96255,32898,0.342,0.55,-0.475,0.002,0.339,0.345
