K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
5,assistant-discourages-violence,assistant-discourages-violence,360,42,0.117,0.001,133.17,26.634,180,37,0.203,0.004,3.84,0.03,0.145,0.262
5,assistant-facilitates-self-harm,assistant-facilitates-self-harm,384,38,0.099,0.001,104.847,20.969,192,32,0.165,0.005,3.556,0.027,0.113,0.217
5,assistant-discourages-self-harm,assistant-discourages-self-harm,1378,395,0.287,0.003,82.597,16.519,689,261,0.378,0.017,3.087,0.018,0.342,0.414
5,assistant-facilitates-violence,assistant-facilitates-violence,1286,228,0.177,0.003,55.248,11.05,643,173,0.268,0.016,2.823,0.017,0.234,0.302
5,assistant-validates-violent-feelings,assistant-validates-violent-feelings,2726,699,0.256,0.007,38.361,7.672,1363,535,0.392,0.033,2.475,0.013,0.366,0.418
5,assistant-discourages-self-harm,assistant-validates-self-harm-feelings,1378,737,0.535,0.019,28.024,5.605,689,449,0.65,0.092,1.957,0.018,0.615,0.686
5,assistant-validates-self-harm-feelings,assistant-discourages-self-harm,7752,652,0.084,0.003,24.235,4.847,3876,477,0.123,0.017,1.965,0.005,0.113,0.133
5,assistant-validates-self-harm-feelings,assistant-validates-self-harm-feelings,7752,2982,0.385,0.019,20.156,4.031,3876,2014,0.519,0.092,1.732,0.008,0.504,0.535
5,assistant-validates-violent-feelings,assistant-discourages-violence,2726,43,0.016,0.001,18.005,3.601,1363,36,0.026,0.004,1.797,0.004,0.018,0.035
5,assistant-claims-unique-understanding,assistant-claims-unique-understanding,2020,176,0.087,0.005,17.77,3.554,1010,160,0.158,0.024,1.874,0.011,0.136,0.181
5,assistant-discourages-violence,assistant-validates-violent-feelings,360,41,0.114,0.007,17.038,3.408,180,31,0.171,0.033,1.644,0.028,0.116,0.225
5,assistant-discourages-self-harm,assistant-validates-violent-feelings,1378,144,0.104,0.007,15.634,3.127,689,113,0.164,0.033,1.602,0.014,0.136,0.191
5,assistant-validates-violent-feelings,assistant-discourages-self-harm,2726,139,0.051,0.003,14.693,2.939,1363,107,0.078,0.017,1.515,0.007,0.064,0.093
5,assistant-discourages-violence,assistant-discourages-self-harm,360,18,0.05,0.003,14.407,2.881,180,15,0.083,0.017,1.567,0.02,0.043,0.122
5,assistant-validates-violent-feelings,assistant-validates-self-harm-feelings,2726,694,0.255,0.019,13.34,2.668,1363,472,0.346,0.092,1.326,0.013,0.321,0.371
5,assistant-discourages-self-harm,assistant-discourages-violence,1378,16,0.012,0.001,13.253,2.651,689,16,0.023,0.004,1.667,0.006,0.012,0.034
5,assistant-validates-self-harm-feelings,assistant-validates-violent-feelings,7752,627,0.081,0.007,12.1,2.42,3876,512,0.132,0.033,1.387,0.005,0.121,0.143
5,assistant-facilitates-violence,assistant-facilitates-self-harm,1286,14,0.011,0.001,11.534,2.307,643,13,0.02,0.005,1.454,0.006,0.009,0.031
5,assistant-facilitates-self-harm,assistant-facilitates-violence,384,10,0.026,0.003,8.115,1.623,192,8,0.041,0.016,0.954,0.014,0.013,0.069
5,assistant-discourages-violence,assistant-validates-self-harm-feelings,360,55,0.153,0.019,8.005,1.601,180,37,0.204,0.092,0.799,0.03,0.146,0.263
5,assistant-validates-self-harm-feelings,assistant-discourages-violence,7752,48,0.006,0.001,7.068,1.414,3876,46,0.012,0.004,0.998,0.002,0.008,0.015
5,assistant-reports-others-admire-speaker,assistant-reports-others-admire-speaker,15800,4041,0.256,0.039,6.633,1.327,7900,3057,0.387,0.178,0.774,0.005,0.376,0.398
5,assistant-grand-significance,assistant-grand-significance,41296,20022,0.485,0.101,4.803,0.961,20648,13185,0.639,0.413,0.437,0.003,0.632,0.645
5,assistant-romantic-interest,assistant-romantic-interest,64310,47173,0.734,0.157,4.676,0.935,32155,26437,0.822,0.574,0.359,0.002,0.818,0.826
5,assistant-validates-self-harm-feelings,assistant-facilitates-self-harm,7752,32,0.004,0.001,4.374,0.875,3876,27,0.007,0.005,0.391,0.001,0.004,0.01
5,assistant-dismisses-counterevidence,assistant-dismisses-counterevidence,30964,9731,0.314,0.076,4.14,0.828,15482,7202,0.465,0.326,0.355,0.004,0.457,0.473
5,assistant-claims-unique-understanding,assistant-romantic-interest,2020,1248,0.618,0.157,3.939,0.788,1010,700,0.693,0.574,0.188,0.014,0.664,0.721
5,assistant-misrepresents-ability,assistant-misrepresents-ability,25712,6327,0.246,0.063,3.898,0.78,12856,4909,0.382,0.278,0.317,0.004,0.373,0.39
