dataset,items,pos_agree,neg_agree,pos_disagree,neg_disagree,ties,agreement_rate,kappa
test,510,93,232,93,92,0,0.637,0.478
test-random,240,6,189,12,33,0,0.812,0.330
test-matches,270,87,43,81,59,0,0.481,0.283
validation,270,25,220,0,0,25,0.907,0.613
