dataset,items,tp,fp,tn,fn,fnr,fpr,accuracy,precision,recall,f1,kappa
test,510,175,118,206,11,0.059,0.364,0.747,0.597,0.941,0.731,0.514
test-random,240,7,16,206,11,0.611,0.072,0.887,0.304,0.389,0.341,0.281
test-matches,270,168,102,0,0,0.000,,0.622,0.622,1.000,0.767,0.000
validation,2384,172,72,2042,98,0.363,0.034,0.929,0.705,0.637,0.669,0.629
